item,survey,max time,text,shuffle 1,code,calibrations,calibration_skip,design_type,image_file,trials,min_width,min_height,skip_instruct,stim_duration,left_side,
0,,user,"Please look at the cross.<br />A video will follow MORE INSTRUCTIONS HERE, look at the code column in the procedure sheet to make these instructions.<br /><br />Do not move your head, <br />only use your eyes.",off,webgazer_3,13,yes,stimuli,gaze_practice.csv,8,1100px,400px,off,5000,image_1,
0,,user,"Please look at the cross.<br />A video will follow MORE INSTRUCTIONS HERE, look at the code column in the procedure sheet to make these instructions.<br /><br />Do not move your head, <br />only use your eyes.",off,webgazer_3,13,yes,stimuli,gaze_actual_list3a.csv,80,1100px,400px,off,5000,image_1,
0,,user,"Please look at the cross.<br />A video will follow MORE INSTRUCTIONS HERE, look at the code column in the procedure sheet to make these instructions.<br /><br />Do not move your head, <br />only use your eyes.",off,webgazer_3,13,yes,stimuli,gaze_actual_list3b.csv,80,1100px,400px,off,5000,image_1,
